Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
24-03-2015,INFY,EQ,2233.45,2234.9,2253.4,2206,2215.2,2211.45,2224.27,1684133,3.74597E+14,43962,1219937,0.7244
25-03-2015,INFY,EQ,2211.45,2222.9,2229.15,2200.75,2222.8,2219.1,2214.43,1542742,3.4163E+14,105633,1101312,0.7139
26-03-2015,INFY,EQ,2219.1,2208,2214.9,2132,2163,2146.35,2156.88,3935210,8.48776E+14,131427,2896200,0.736
27-03-2015,INFY,EQ,2146.35,2164,2224.7,2163,2202,2202.15,2203.42,2518555,5.54944E+14,72286,1560069,0.6194
30-03-2015,INFY,EQ,2202.15,2205.6,2240,2194.9,2239.85,2228,2217.09,1155772,2.56245E+14,52162,767169,0.6638
31-03-2015,INFY,EQ,2228,2245,2273.65,2204.35,2215.1,2218.35,2222.1,2004103,4.45332E+14,92432,1354814,0.676
01-04-2015,INFY,EQ,2218.35,2198.9,2199.5,2157.7,2171,2173.95,2171.15,1684622,3.65756E+14,90934,1187902,0.7051
06-04-2015,INFY,EQ,2173.95,2179,2184.7,2160.4,2179.95,2178.2,2171.24,1935438,4.20229E+14,54198,1529651,0.7903
07-04-2015,INFY,EQ,2178.2,2175,2182.8,2138,2161,2159.5,2160.92,2135567,4.61479E+14,71104,1610234,0.754
08-04-2015,INFY,EQ,2159.5,2182.5,2204.9,2173.05,2200,2200.55,2191.4,2546394,5.58018E+14,84366,2009389,0.7891
09-04-2015,INFY,EQ,2200.55,2211.4,2218.9,2184.4,2212,2215,2202.96,2645387,5.82767E+14,65171,2202202,0.8325
10-04-2015,INFY,EQ,2215,2210.2,2238,2210.2,2228.75,2233.95,2229.87,1780944,3.97128E+14,55733,1315996,0.7389
13-04-2015,INFY,EQ,2233.95,2238,2244,2216.1,2231,2238.8,2235.7,1218084,2.72327E+14,44676,779253,0.6397
15-04-2015,INFY,EQ,2238.8,2236.5,2245,2195.05,2217.95,2213.7,2214.16,1559446,3.45286E+14,58780,1065709,0.6834
16-04-2015,INFY,EQ,2213.7,2222,2231,2160.5,2196.9,2194.65,2183.51,2251953,4.91716E+14,55664,1280673,0.5687
17-04-2015,INFY,EQ,2194.65,2180.05,2194.95,2153.45,2180,2179.25,2177.13,1612579,3.51079E+14,38470,1140905,0.7075
20-04-2015,INFY,EQ,2179.25,2176,2180,2115.15,2129.5,2132.15,2130.87,3206346,6.8323E+14,77890,2286819,0.7132
21-04-2015,INFY,EQ,2132.15,2148,2155.1,2120.1,2142.6,2142.6,2137.25,2220412,4.74557E+14,55322,1508882,0.6796
22-04-2015,INFY,EQ,2142.6,2151.05,2155,2097.95,2137.95,2137.7,2125.66,3087746,6.56348E+14,95691,2469267,0.7997
23-04-2015,INFY,EQ,2137.7,2148.7,2150,2112,2121.05,2122,2124.89,2972950,6.3172E+14,96511,2173821,0.7312
24-04-2015,INFY,EQ,2122,2135.9,2150.2,1980,1993,1995.2,2070.28,10891363,2.25481E+15,317809,4101422,0.3766
27-04-2015,INFY,EQ,1995.2,2000,2002,1948.1,1984.85,1984.65,1972.71,4955660,9.7761E+14,191419,3423734,0.6909
28-04-2015,INFY,EQ,1984.65,1982,1982,1952,1956.9,1960.9,1962.59,2598375,5.09954E+14,105935,1951359,0.751
29-04-2015,INFY,EQ,1960.9,1960.9,1972,1937.95,1963,1961.15,1954.65,2072264,4.05055E+14,83132,1435649,0.6928
